C.D.S.  -  SIMBAD4 rel 1.8  -  2024.03.27CET20:58:42

coord 14 29 42.9461331854-62 40 46.164680672 (ICRS, J2000, 2000.0), radius: 50 arcmin
-------------------------------------------------------------------------------------

Number of objects : 2680

 #  |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|----------|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |      0.00|NAME Proxima Centauri c            |Pl?|14 29 42.9461331854 -62 40 46.164680672|     ~   |     ~   |     ~   |     ~   |     ~   |~              |  29|   0
2   |      0.00|NAME Proxima d                     |Pl?|14 29 42.9461331854 -62 40 46.164680672|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   8|   0
3   |      0.00|NAME Proxima Centauri              |Er*|14 29 42.9461331854 -62 40 46.164680672|14.21    |12.95    |11.13    |9.45     |7.41     |M5.5Ve         |1292|   0
4   |      0.00|NAME Proxima Centauri b            |Pl |14 29 42.9461331854 -62 40 46.164680672|     ~   |     ~   |     ~   |     ~   |     ~   |~              | 363|   0
5   |     32.61|TYC 9010-4949-1                    |*  |14 29 47.591 -62 40 52.55              |     ~   |12.70    |10.97    |     ~   |     ~   |~              |   0|   0
6   |     58.23|[SBA2014] Source 1                 |*  |14 29 34.693 -62 40 33.46              |     ~   |21.26    |20.36    |     ~   |17.78    |~              |   2|   0
7   |     61.38|GES J14293411-6240342              |*  |14 29 34.1888377560 -62 40 34.643374896|     ~   |20.55    |19.89    |     ~   |17.93    |~              |   3|   0
8   |     80.82|2MASS J14293759-6241580            |LP?|14 29 37.5948446017 -62 41 58.100594283|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
9   |     83.69|2MASS J14294149-6242092            |LP?|14 29 41.5015037212 -62 42 09.259860093|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
10  |    117.93|2MASS J14295952-6241159            |LP?|14 29 59.5228155714 -62 41 15.951535625|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
11  |    119.08|2MASS J14292617-6241155            |*  |14 29 26.1817458938 -62 41 15.555301722|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
12  |    119.69|2MASS J14295679-6239338            |LP?|14 29 56.8002931537 -62 39 33.892163578|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
13  |    122.32|1RXS J142929.0-624202              |X  |14 29 28.999 -62 42 01.98              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
14  |    138.19|Gaia DR3 5853495552084820480       |LP?|14 30 01.4616075670 -62 41 39.594197715|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
15  |    138.68|1RXS J142943.1-623827              |X  |14 29 43.104 -62 38 27.49              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
